Quand les deboussoles perdent le Nord;1201;"Comment retrouver son chemin lorsque l'on est perdu en pleine campagne : en utilisant le soleil et les etoiles, en se fabriquant une boussole et en tenant compte de l'environnement naturel ? Comment marche une boussole ? Qu'est-ce que le Nord magnetique et geographique ? Comment realiser et utiliser une carte à partir des points cardinaux, des courbes de niveau, des echelles... ? Comment mesurer la hauteur des montagnes ? Une course folle s'engage entre les deux animateurs de l'emission : Fred perdu en pleine ""cambrousse"" tente avec des moyens de fortune de s'orienter pour retrouver le camion de CPS à l'interieur duquel Jamy s'est entoure des moyens d'orientation les plus sophistiques. ";La terre et l'univers;Geographie et geologie;1994
Ma poubelle vaut de l'or;1601;Savez-vous que vos ordures ne passent pas à la poubelle ? Elles sont triees et recyclees. Verres, boîtes de conserve, cartons, caoutchouc... ces materiaux retournent à la case depart pour fabriquer les objets les plus inattendus ou pour produire de l'energie. Nous suivons les dechets à la trace depuis le vide-ordures jusqu'aux usines de recyclage et d'incineration... ;La terre et l'univers;Environnement;1994
À boire et à manger (le goût);2001;F & J nous devoilent les coulisses d'un grand restaurant. Qu'est-ce que le goût et les arômes (arômes naturels et artificiels) et la chimie de la cuisine ? Comment perçoit-on le sucre et le sale ? Pourquoi les aliments ont-ils du goût? Que se passe-t-il quand on fait cuire un aliment ? Comment les goûts se revelent-ils ?;Sport et sante;Medecine et biologie;1994
L'hôpital de la tête au pied;2002;A l'interieur d'un grand hôpital pour enfants, nous suivons le parcours d'un jeune admis pour une operation chirurgicale, en decouvrant l'ensemble des services et des examens qui permettront de le prendre en charge : radiologie, anesthesie, examens sanguins, chirurgie... Tout cela bien sûr en dedramatisant l'hôpital et en faisant connaissance avec le personnel hospitalier. Comment voir à l'interieur du corps ? Comment fonctionnent les rayons X et le scanner ? Avoir de la temperature, ça veut dire quoi? Qu'est-ce qu'un groupe sanguin et de quoi est compose le sang ? Quel est le principe de l'anesthesie ? Que se passe-t-il pendant une operation ? Et une jambe cassee, comment la reparer ? ;Sport et sante;Medecine et biologie;1994
Sur le plancher des vaches;2101;Lait, cereales, œufs, viande, tous ces produits alimentaires que nous consommons chaque jour viennent de la ferme. Mais qui fabrique quoi ? Comment la vache fabrique-t-elle son lait ou son veau, comment la terre fabrique-t-elle du ble ou du maïs ? Comment les poules pondent-elles des œufs ? Et le fromage, comment est-il fait ? En visitant l'une des plus grandes fermes d'Europe nous redecouvrons les grands principes physiques et chimiques de la nature. ;Sport et sante;Alimentation et nutrition;1994
Lucy, Neandertal, Cro-Magnon;3001;"A la recherche de nos ancêtres et de leur mode de vie, nous visitons la ""maison"" de Cro-Magnon. En compagnie d'archeologues, nous decouvrons les gestes quotidiens des ""premiers"" hommes : la peinture, la chasse, la taille des silex, la confection des vêtements, la fabrication des armes. Nous apprenons les differentes etapes de l'evolution de l'homme et la maniere de dater une decouverte archeologique... ";Histoire culture et societe;Histoire archeologie;1994
Un château tres, tres fort;3002;Dans le château de Castelnau en Dordogne, nos deux animateurs se retrouvent plonges au cœur d'une bataille du Moyen-âge dans laquelle les belligerants utilisent de drôles de machines. Comment un château-fort est-il construit et avec quels outils ? Comment est organisee la defense du château ? Comment fonctionnent un trebuchet, une bricole, une arbalete, une bombarde ? Comment travailler le fer pour fabriquer une epee ? ;Histoire culture et societe;Histoire archeologie;1994
Le son en concert (premiere emission de CPS);3101;En suivant l'installation et le deroulement d'un grand concert Rock avec des ingenieurs du son et des artistes, nous decouvrons tous les principes physiques qui regissent le deplacement du son. Comment, où, et à quelle vitesse circule le son, qu'est-ce qu'une frequence, comment fonctionnent un micro, un ampli, un egaliseur, un haut parleur ?... ;Histoire culture et societe;Art et spectacle;1994
Les plus grands maneges du monde;4001;Une gigantesque fête foraine : la foire de Rouen vieille de 900 ans a connu depuis sa creation toutes les attractions et tous les maneges. Aujourd'hui, les amateurs de sensations fortes y trouvent leurs plaisirs avec quelques uns des plus grands maneges du monde. Derriere cette industrie du plaisir se dissimulent de multiples recherches scientifiques et technologiques pour creer des maneges qui defient les lois de la nature et qui nous permettent d'expliquer la force de gravite, la force centrifuge, la force d'inertie, l'energie potentielle, l'energie cinetique... ;Technologie, physique chimie;Physique et chimie;1994
Au feu, les pompiers !;4101;Comment un incendie se declare-t-il ? Comment peut-on l'eteindre ? Ce n'est pas si simple ! Pour y repondre, Fred a suivi la Brigade des Sapeurs Pompiers de Paris dans l'une de ses nombreuses missions. Qu'est-ce que le feu ? A quelle temperature un solide, un liquide ou un gaz devient-il inflammable ? Pourquoi l'eau eteint-elle certains feux et pas d'autres ? Comment les pompiers se protegent-ils des fortes temperatures et des flammes ? Comment faire monter la pression dans les tuyaux ? ;Technologie, physique chimie;Technologie et industrie;1994
L'electricite : quand les branches disjonctent;4201;Nous suivons le trajet de l'electricite d'un centre de production aux lieux de consommation pour comprendre comment elle est fabriquee et par quels moyens elle est acheminee. Au cours de ce long periple nous rencontrerons des ingenieurs charges de simuler des phenomenes electriques pour que le voyage des electrons s'effectue dans les meilleures conditions de securite. Nous decouvrirons des funambules tres particuliers qui assurent la maintenance des lignes à haute tension où circule en permanence un courant de 400 000 volts. Nous visiterons enfin un centre de tri charge de programmer et repartir la production d'electricite en fonction de la demande. Qu'est-ce que l'electricite ? Pourquoi se deplace-t-elle dans certains materiaux et pas dans d'autres ? Qu'est-ce qu'un courant alternatif, un courant continu? Tension, intensite, puissance, quelles differences ? Comment fait-on travailler les electrons pour s'eclairer ou se chauffer ? ;Technologie, physique chimie;energie;1994
Tous à vos postes (la television);4301;En suivant le parcours de l'image depuis la camera jusqu'au tube cathodique, les sorciers explorent les coulisses de la television. Il nous devoilent les secrets de fabrication d'une image tele, et nous emmenent explorer l'interieur de notre poste, les ondes tele, la video... ;Technologie, physique chimie;Communication;1994
Les plus gros navires du monde;4401;"Paquebots, cargos ou supertankers... Ils sont en acier et pesent des dizaines de milliers de tonnes, et pourtant ils flottent ! Comment font-ils pour ne pas couler, pour resister aux tempêtes et au poids de leurs cargaisons ? Et quelle force est capable de propulser de tels ""monstres"" ? En visitant les Chantiers de l'Atlantique à Saint Nazaire, nous decouvrons comment ces navires sont construits, comment ils sont dessines et etudies pour resister à toutes les mers. ";Technologie, physique chimie;Transport;1994
Une affaire qui roule (l'automobile);4402;F & J nous devoilent la fabrication d'une voiture. Ils explorent les sites les plus secrets où sont imagines et conçus les vehicules. Ils rencontrent les ingenieurs et les techniciens charges d'ameliorer leurs performances (resistance à l'air, consommation, pollution...) et nous expliquent le fonctionnement des principaux organes qui les composent : moteur à 4 temps, moteur diesel, embrayage, boîte de vitesse, freins... ;Technologie, physique chimie;Transport;1994
Silence, on coule ! (les sous-marins);4501;Nous partons à bord d'un sous-marin militaire pour les grandes profondeurs des oceans. Nous decouvrons les postes-cles et les equipements indispensables pour naviguer, ainsi que les lois physiques qui regissent la vie d'un sous-marin. Comment plonger et remonter ? Comment fabriquer de l'air pour respirer ? Comment naviguer dans le plus grand des silences pour ne pas être repere ? Comment communiquer avec la surface et comment entendre les autres sous-marins ? ;Technologie, physique chimie;Defense;1994
Les tours infernales;4601;Dans toutes les grandes metropoles, les gens habitent et travaillent dans d'immenses tours. Mais comment ces tours font-elles pour tenir debout, pour resister aux tempêtes et aux seismes ? Au fait, connaissez-vous la vie secrete d'une tour, le fonctionnement de ses ascenseurs, de ses gigantesques reseaux de ventilation, d'alimentation d'eau, d'electricite... Le long d'un parcours insolite, nous voyageons dans les entrailles de ces cathedrales du 20eme siecle qui defient les lois de la nature. ;Technologie, physique chimie;Grds travaux et architectures;1994
L'ecole est finie;1;F & J passent un examen blanc avec des collegiens et des lyceens. Ils refont quelques-unes des experiences realisees au cours de l'annee. Au programme: physique, chimie, mecanique et biologie...;Emission speciale;Emission speciale;1995
Clef à molette, smoking, cambouis;2;Emission speciale;Emission speciale;Emission speciale;1995
L'annee des sorciers;3;Emission speciale;Emission speciale;Emission speciale;1995
Homo orbitus : comment aller dans l'espace et y vivre ?;1001;Fred suit un entraînement à l'Euro Space Center en Belgique pour aller dans l'espace. Il s'exerce à des simulations peu banales... Une piscine et une chaise 5 degres pour s'imaginer en etat d'apesanteur, une chaise multiaxes pour se croire en train de travailler dans l'espace ou encore un drôle de fauteuil pour effectuer une sortie virtuelle dans l'espace ! Fred va même s'entraîner au pilotage d'une navette spatiale ! Pendant ce temps Jamy nous presente quelques experiences dans son camion laboratoire... Qu'est-ce que l'espace ? Et une mise en orbite ? Comment echapper à l'attraction terrestre ? Comment fonctionne le moteur d'une fusee ? Qu'est-ce que l'apesanteur (ou l'impesanteur) et la pesanteur ? Quelles sont les consequences de l'impesanteur sur le corps humain ? ;La terre et l'univers;Espace et Astronomie;1995
Pleins feux sur le systeme solaire;1002;Le camion de CPS prend la route des etoiles. Direction l'observatoire du Pic du Midi dans les Pyrenees pour un petit tour d'horizon de la voûte celeste ! Etoiles, planetes, cometes... Depuis l'observatoire le plus haut de France, Fred se promene dans le ciel et fait la lumiere sur tout ce qui brille au-dessus de nos têtes. L'œil rive sur un coronographe, il observe la couronne du Soleil. Grâce à un telescope, il suit la planete Mars dans la constellation du Lion ou encore un ouragan sur la planete Jupiter. ;La terre et l'univers;Espace et Astronomie;1995
Le sel, de la mer a la terre;1101;L'equipe de CPS part suivre la recolte du sel dans les Salins du midi, à Aigues-Mortes. Nous suivons F & J à 160 metres de profondeur, dans la derniere mine de sel encore en exploitation en France, à St Nicolas de Varangeville en Meurthe-et-Moselle. Et oui, du sel, il n'y en a pas que dans la mer : il y en a aussi sous la terre ! Depuis la mer jusqu'aux tables salantes, nous allons parcourir les marais salants pour suivre les transformations du chlorure de sodium, autrement dit du sel de table. Puis à Varangeville, nous irons avec les mineurs recolter des blocs de sel à l'aide d'une haveuse et de bâtons de dynamite. Ces gros grains de sel ne finiront pas dans votre assiette mais dans votre lave-vaisselle - pour adoucir l'eau - ou sur les routes à deneiger et surtout dans l'industrie chimique. ;La terre et l'univers;Geologie;1995
Descente au cœur d'un glacier;1202;"CPS part dans la vallee de Chamonix à la decouverte de quelques-uns des plus beaux glaciers français. On commence par le plus grand - la Mer de Glace qui serpente sur plus de 11 km de long - et on poursuit avec les glaciers des Bossons, d'Argentiere ou encore le glacier du Geant. En partant du sommet, là où s'accumulent les neiges eternelles, nous allons descendre sur ces longs fleuves de glace qui avancent en moyenne de 100 metres par an. Accompagnes d'un guide de haute montagne et d'un glaciologue, nous allons explorer les rimayes, les crevasses, les seracs et les ""moulins"", ces enormes trous creuses dans la glace par l'eau de fonte. Nous irons même nous promener sous le glacier d'Argentiere, dans des galeries qui servent à collecter l'eau pour alimenter une centrale electrique.";La terre et l'univers;Geographie et geologie;1995
Faire la pluie et le beau temps;1203;Direction les stations meteorologiques ! On va enfin savoir decrypter un bulletin meteo... Apres une promenade en ballon qui va nous permettre de comprendre les differents phenomenes atmospheriques, nous atterrissons à Nantes, pour decouvrir la soufflerie Jules Verne : un laboratoire où des scientifiques reconstituent tous les climats de la planete. Pour finir, un petit tour du côte des services de previsions meteorologiques de Meteo-France nous attend.;La terre et l'univers;Geographie et geologie;1995
La vie d'un fleuve (la Seine);1204;"L'equipe de CPS part à la decouverte des grands fleuves - pour comprendre comment ils se forment et comment ils evoluent au fil du temps - et des amenagements que l'homme y a apportes. Tout au long de l'emission Fred remonte le cours de la Seine, en navigant à bord de differents bateaux. Sur l'Echoranda, un ""bateau-sondeur"" capable de naviguer dans les conditions les plus extrêmes, nous observerons la topographie du fleuve et son evolution. Puis nous embarquerons sur un convoi de 5 500 tonnes pour decouvrir les conditions de navigation sur la Seine. Enfin, à bord d'un bateau du service anti-pollution de la Seine, nous dresserons l'etat de sante du fleuve. ";La terre et l'univers;Geographie et geologie;1995
